date,tenant_id,channel,campaign_id,creative_id,creative_type,spend,impressions,clicks,conversions,revenue,roas
2025-11-20,bank-of-jamaica,Meta,BAN-002,CR-BAN-002-01,video,11359.59,15671,340,10,61609.04,5.42
2025-11-20,bank-of-jamaica,Meta,BAN-002,CR-BAN-002-02,carousel,3225.94,4450,96,2,17496.0,5.42
2025-11-20,bank-of-jamaica,Meta,BAN-002,CR-BAN-002-03,image,8419.13,11615,252,7,45661.39,5.42
2025-11-20,bank-of-jamaica,Meta,BAN-002,CR-BAN-002-04,image,6199.11,8552,186,5,33621.04,5.42
2025-11-20,bank-of-jamaica,Meta,BAN-002,CR-BAN-002-05,video,4149.43,5724,124,3,22504.58,5.42
2025-11-20,bank-of-jamaica,Meta,BAN-002,CR-BAN-002-06,image,6233.7,8600,187,5,33808.63,5.42
2025-11-20,bank-of-jamaica,Meta,BAN-002,CR-BAN-002-07,image,4232.03,5838,127,3,22952.54,5.42
2025-11-21,bank-of-jamaica,Meta,BAN-002,CR-BAN-002-01,video,4001.44,5003,94,2,15109.85,3.78
2025-11-21,bank-of-jamaica,Meta,BAN-002,CR-BAN-002-02,carousel,11069.26,13841,262,6,41798.68,3.78
2025-11-21,bank-of-jamaica,Meta,BAN-002,CR-BAN-002-03,image,4387.12,5485,104,2,16566.21,3.78
2025-11-21,bank-of-jamaica,Meta,BAN-002,CR-BAN-002-04,image,25172.33,31476,597,15,95053.3,3.78
2025-11-21,bank-of-jamaica,Meta,BAN-002,CR-BAN-002-05,video,5460.15,6827,129,3,20618.09,3.78
2025-11-21,bank-of-jamaica,Meta,BAN-002,CR-BAN-002-06,image,3961.91,4954,94,2,14960.6,3.78
2025-11-21,bank-of-jamaica,Meta,BAN-002,CR-BAN-002-07,image,5656.4,7072,134,3,21359.17,3.78
2025-11-22,bank-of-jamaica,Meta,BAN-002,CR-BAN-002-01,video,4061.19,4971,107,2,15106.39,3.72
2025-11-22,bank-of-jamaica,Meta,BAN-002,CR-BAN-002-02,carousel,5449.46,6670,144,3,20270.32,3.72
2025-11-22,bank-of-jamaica,Meta,BAN-002,CR-BAN-002-03,image,3919.61,4798,103,2,14579.77,3.72
2025-11-22,bank-of-jamaica,Meta,BAN-002,CR-BAN-002-04,image,3610.01,4419,95,2,13428.14,3.72
2025-11-22,bank-of-jamaica,Meta,BAN-002,CR-BAN-002-05,video,2545.98,3116,67,1,9470.29,3.72
2025-11-22,bank-of-jamaica,Meta,BAN-002,CR-BAN-002-06,image,5308.47,6498,140,3,19745.89,3.72
2025-11-22,bank-of-jamaica,Meta,BAN-002,CR-BAN-002-07,image,2954.98,3617,78,1,10991.62,3.72
2025-11-23,bank-of-jamaica,Meta,BAN-002,CR-BAN-002-01,video,1173.69,1540,33,1,6289.12,5.36
2025-11-23,bank-of-jamaica,Meta,BAN-002,CR-BAN-002-02,carousel,5134.5,6737,146,4,27512.71,5.36
2025-11-23,bank-of-jamaica,Meta,BAN-002,CR-BAN-002-03,image,3272.51,4294,93,2,17535.43,5.36
2025-11-23,bank-of-jamaica,Meta,BAN-002,CR-BAN-002-04,image,6423.9,8429,182,5,34421.78,5.36
2025-11-23,bank-of-jamaica,Meta,BAN-002,CR-BAN-002-05,video,6840.67,8976,194,6,36655.04,5.36
2025-11-23,bank-of-jamaica,Meta,BAN-002,CR-BAN-002-06,image,7495.38,9835,213,6,40163.24,5.36
2025-11-23,bank-of-jamaica,Meta,BAN-002,CR-BAN-002-07,image,7187.57,9431,204,6,38513.86,5.36
2025-11-24,bank-of-jamaica,Meta,BAN-002,CR-BAN-002-01,video,5466.9,7052,134,3,22141.53,4.05
2025-11-24,bank-of-jamaica,Meta,BAN-002,CR-BAN-002-02,carousel,1465.5,1890,36,0,5935.43,4.05
2025-11-24,bank-of-jamaica,Meta,BAN-002,CR-BAN-002-03,image,8010.95,10334,197,5,32445.24,4.05
2025-11-24,bank-of-jamaica,Meta,BAN-002,CR-BAN-002-04,image,1817.03,2343,44,1,7359.15,4.05
