date,tenant_id,channel,parish,spend,impressions,clicks,conversions,revenue,roas
2025-11-30,bank-of-jamaica,TikTok,Kingston,9601.27,16866,285,3,21909.56,2.28
2025-11-30,bank-of-jamaica,TikTok,St Andrew,24314.7,42713,723,8,55484.8,2.28
2025-11-30,bank-of-jamaica,TikTok,St Catherine,5316.01,9338,158,1,12130.84,2.28
2025-11-30,bank-of-jamaica,TikTok,Clarendon,2224.67,3908,66,0,5076.57,2.28
2025-11-30,bank-of-jamaica,TikTok,Manchester,5165.93,9074,153,1,11788.36,2.28
2025-11-30,bank-of-jamaica,TikTok,St Ann,17291.4,30375,514,5,39458.01,2.28
2025-11-30,bank-of-jamaica,TikTok,St Mary,6272.21,11018,186,2,14312.84,2.28
2025-11-30,bank-of-jamaica,TikTok,Portland,327.92,576,9,0,748.29,2.28
2025-11-30,bank-of-jamaica,TikTok,St Thomas,1342.02,2357,39,0,3062.42,2.28
2025-11-30,bank-of-jamaica,TikTok,St James,19632.99,34488,583,6,44801.38,2.28
2025-11-30,bank-of-jamaica,TikTok,Hanover,695.09,1221,20,0,1586.16,2.28
2025-11-30,bank-of-jamaica,TikTok,Westmoreland,1130.55,1986,33,0,2579.85,2.28
2025-11-30,bank-of-jamaica,TikTok,Trelawny,7234.16,12708,215,2,16507.94,2.28
2025-11-30,bank-of-jamaica,TikTok,St Elizabeth,9200.72,16162,273,3,20995.53,2.28
2025-12-01,bank-of-jamaica,TikTok,Kingston,6792.58,13124,222,2,16683.04,2.46
2025-12-01,bank-of-jamaica,TikTok,St Andrew,19449.39,37579,636,7,47769.03,2.46
2025-12-01,bank-of-jamaica,TikTok,St Catherine,5887.41,11375,192,2,14459.88,2.46
2025-12-01,bank-of-jamaica,TikTok,Clarendon,12246.4,23662,401,4,30077.98,2.46
2025-12-01,bank-of-jamaica,TikTok,Manchester,7459.38,14412,244,2,18320.74,2.46
2025-12-01,bank-of-jamaica,TikTok,St Ann,829.15,1602,27,0,2036.46,2.46
2025-12-01,bank-of-jamaica,TikTok,St Mary,2875.48,5555,94,1,7062.38,2.46
2025-12-01,bank-of-jamaica,TikTok,Portland,1486.94,2873,48,0,3652.01,2.46
2025-12-01,bank-of-jamaica,TikTok,St Thomas,1422.44,2748,46,0,3493.62,2.46
2025-12-01,bank-of-jamaica,TikTok,St James,3778.42,7300,123,1,9280.05,2.46
2025-12-01,bank-of-jamaica,TikTok,Hanover,19239.1,37173,629,7,47252.55,2.46
2025-12-01,bank-of-jamaica,TikTok,Westmoreland,5861.06,11324,191,2,14395.16,2.46
2025-12-01,bank-of-jamaica,TikTok,Trelawny,18.77,36,0,0,46.09,2.46
2025-12-01,bank-of-jamaica,TikTok,St Elizabeth,7294.25,14093,238,2,17915.17,2.46
2025-12-02,bank-of-jamaica,TikTok,Kingston,7685.2,14241,227,3,23124.16,3.01
2025-12-02,bank-of-jamaica,TikTok,St Andrew,5047.92,9354,149,2,15188.79,3.01
2025-12-02,bank-of-jamaica,TikTok,St Catherine,6370.45,11805,188,2,19168.18,3.01
2025-12-02,bank-of-jamaica,TikTok,Clarendon,19387.74,35927,574,8,58336.17,3.01
2025-12-02,bank-of-jamaica,TikTok,Manchester,8918.74,16527,264,3,26835.76,3.01
2025-12-02,bank-of-jamaica,TikTok,St Ann,1451.33,2689,43,0,4366.93,3.01
2025-12-02,bank-of-jamaica,TikTok,St Mary,1178.79,2184,34,0,3546.9,3.01
2025-12-02,bank-of-jamaica,TikTok,Portland,10133.83,18779,300,4,30491.88,3.01
2025-12-02,bank-of-jamaica,TikTok,St Thomas,10571.02,19589,313,4,31807.35,3.01
2025-12-02,bank-of-jamaica,TikTok,St James,4336.23,8035,128,1,13047.38,3.01
2025-12-02,bank-of-jamaica,TikTok,Hanover,9153.06,16961,271,4,27540.81,3.01
2025-12-02,bank-of-jamaica,TikTok,Westmoreland,3167.54,5869,93,1,9530.87,3.01
2025-12-02,bank-of-jamaica,TikTok,Trelawny,3393.8,6289,100,1,10211.68,3.01
2025-12-02,bank-of-jamaica,TikTok,St Elizabeth,23233.76,43055,688,10,69908.51,3.01
2025-12-03,bank-of-jamaica,TikTok,Kingston,8232.99,15112,251,2,15274.03,1.86
2025-12-03,bank-of-jamaica,TikTok,St Andrew,8807.99,16167,269,2,16340.79,1.86
2025-12-03,bank-of-jamaica,TikTok,St Catherine,18325.66,33638,559,5,33998.19,1.86
2025-12-03,bank-of-jamaica,TikTok,Clarendon,5867.45,10770,179,1,10885.43,1.86
2025-12-03,bank-of-jamaica,TikTok,Manchester,5364.84,9847,163,1,9952.97,1.86
2025-12-03,bank-of-jamaica,TikTok,St Ann,23509.17,43153,718,6,43614.76,1.86
2025-12-03,bank-of-jamaica,TikTok,St Mary,10213.71,18748,312,2,18948.71,1.86
2025-12-03,bank-of-jamaica,TikTok,Portland,13443.7,24677,410,3,24941.07,1.86
2025-12-03,bank-of-jamaica,TikTok,St Thomas,5994.98,11004,183,1,11122.03,1.86
2025-12-03,bank-of-jamaica,TikTok,St James,25312.02,46462,773,7,46959.44,1.86
2025-12-03,bank-of-jamaica,TikTok,Hanover,1214.91,2230,37,0,2253.93,1.86
2025-12-03,bank-of-jamaica,TikTok,Westmoreland,1275.3,2340,38,0,2365.97,1.86
2025-12-03,bank-of-jamaica,TikTok,Trelawny,220.86,405,6,0,409.74,1.86
2025-12-03,bank-of-jamaica,TikTok,St Elizabeth,5007.09,9191,152,1,9289.26,1.86
2025-12-04,bank-of-jamaica,TikTok,Kingston,14439.13,27226,428,5,37648.93,2.61
2025-12-04,bank-of-jamaica,TikTok,St Andrew,15401.54,29041,457,6,40158.34,2.61
2025-12-04,bank-of-jamaica,TikTok,St Catherine,19068.24,35955,566,7,49718.99,2.61
2025-12-04,bank-of-jamaica,TikTok,Clarendon,15257.71,28770,453,5,39783.33,2.61
2025-12-04,bank-of-jamaica,TikTok,Manchester,7793.9,14696,231,3,20322.0,2.61
2025-12-04,bank-of-jamaica,TikTok,St Ann,2323.74,4381,69,0,6058.98,2.61
2025-12-04,bank-of-jamaica,TikTok,St Mary,4857.64,9159,144,1,12665.92,2.61
2025-12-04,bank-of-jamaica,TikTok,Portland,10855.75,20469,322,4,28305.53,2.61
2025-12-04,bank-of-jamaica,TikTok,St Thomas,12628.98,23813,375,4,32929.12,2.61
2025-12-04,bank-of-jamaica,TikTok,St James,6848.18,12913,203,2,17856.1,2.61
2025-12-04,bank-of-jamaica,TikTok,Hanover,2064.74,3893,61,0,5383.66,2.61
2025-12-04,bank-of-jamaica,TikTok,Westmoreland,56.14,105,1,0,146.39,2.61
2025-12-04,bank-of-jamaica,TikTok,Trelawny,4110.94,7751,122,1,10718.96,2.61
2025-12-04,bank-of-jamaica,TikTok,St Elizabeth,4216.11,7950,125,1,10993.19,2.61
2025-12-05,bank-of-jamaica,TikTok,Kingston,17759.44,33844,522,6,42208.27,2.38
2025-12-05,bank-of-jamaica,TikTok,St Andrew,22725.13,43307,668,8,54010.04,2.38
2025-12-05,bank-of-jamaica,TikTok,St Catherine,49469.28,94275,1454,18,117571.95,2.38
2025-12-05,bank-of-jamaica,TikTok,Clarendon,4397.37,8380,129,1,10451.09,2.38
2025-12-05,bank-of-jamaica,TikTok,Manchester,2282.85,4350,67,0,5425.58,2.38
2025-12-05,bank-of-jamaica,TikTok,St Ann,1987.57,3787,58,0,4723.78,2.38
2025-12-05,bank-of-jamaica,TikTok,St Mary,1588.02,3026,46,0,3774.19,2.38
2025-12-05,bank-of-jamaica,TikTok,Portland,2893.82,5514,85,1,6877.64,2.38
2025-12-05,bank-of-jamaica,TikTok,St Thomas,2178.81,4152,64,0,5178.3,2.38
2025-12-05,bank-of-jamaica,TikTok,St James,12296.27,23433,361,4,29224.13,2.38
2025-12-05,bank-of-jamaica,TikTok,Hanover,0.04,0,0,0,0.08,2.0
2025-12-05,bank-of-jamaica,TikTok,Westmoreland,256.58,488,7,0,609.81,2.38
2025-12-05,bank-of-jamaica,TikTok,Trelawny,262.93,501,7,0,624.9,2.38
2025-12-05,bank-of-jamaica,TikTok,St Elizabeth,13485.04,25698,396,4,32049.43,2.38
2025-12-06,bank-of-jamaica,TikTok,Kingston,5212.08,9637,141,1,9514.43,1.83
2025-12-06,bank-of-jamaica,TikTok,St Andrew,12382.62,22897,335,3,22603.92,1.83
2025-12-06,bank-of-jamaica,TikTok,St Catherine,8030.03,14848,217,2,14658.47,1.83
2025-12-06,bank-of-jamaica,TikTok,Clarendon,433.66,801,11,0,791.63,1.83
2025-12-06,bank-of-jamaica,TikTok,Manchester,2398.97,4436,64,0,4379.21,1.83
2025-12-06,bank-of-jamaica,TikTok,St Ann,1952.17,3609,52,0,3563.6,1.83
2025-12-06,bank-of-jamaica,TikTok,St Mary,3761.3,6955,101,1,6866.08,1.83
2025-12-06,bank-of-jamaica,TikTok,Portland,38619.24,71411,1045,10,70497.72,1.83
2025-12-06,bank-of-jamaica,TikTok,St Thomas,5933.26,10971,160,1,10830.91,1.83
2025-12-06,bank-of-jamaica,TikTok,St James,22327.62,41286,604,6,40758.08,1.83
2025-12-06,bank-of-jamaica,TikTok,Hanover,8360.9,15460,226,2,15262.45,1.83
2025-12-06,bank-of-jamaica,TikTok,Westmoreland,7.25,13,0,0,13.23,1.82
2025-12-06,bank-of-jamaica,TikTok,Trelawny,276.18,510,7,0,504.16,1.83
2025-12-06,bank-of-jamaica,TikTok,St Elizabeth,2483.43,4592,67,0,4533.4,1.83
2025-12-07,bank-of-jamaica,TikTok,Kingston,7286.83,12222,201,2,17288.16,2.37
2025-12-07,bank-of-jamaica,TikTok,St Andrew,2769.87,4645,76,0,6571.57,2.37
2025-12-07,bank-of-jamaica,TikTok,St Catherine,17878.31,29986,495,6,42416.66,2.37
2025-12-07,bank-of-jamaica,TikTok,Clarendon,32352.26,54263,896,11,76756.42,2.37
2025-12-07,bank-of-jamaica,TikTok,Manchester,14175.41,23776,392,5,33631.46,2.37
2025-12-07,bank-of-jamaica,TikTok,St Ann,3555.98,5964,98,1,8436.63,2.37
2025-12-07,bank-of-jamaica,TikTok,St Mary,29083.2,48780,806,10,69000.51,2.37
2025-12-07,bank-of-jamaica,TikTok,Portland,150.34,252,4,0,356.68,2.37
2025-12-07,bank-of-jamaica,TikTok,St Thomas,698.07,1170,19,0,1656.19,2.37
2025-12-07,bank-of-jamaica,TikTok,St James,4519.47,7580,125,1,10722.54,2.37
2025-12-07,bank-of-jamaica,TikTok,Hanover,1600.73,2684,44,0,3797.76,2.37
2025-12-07,bank-of-jamaica,TikTok,Westmoreland,726.44,1218,20,0,1723.5,2.37
2025-12-07,bank-of-jamaica,TikTok,Trelawny,11056.19,18544,306,3,26231.05,2.37
2025-12-07,bank-of-jamaica,TikTok,St Elizabeth,7119.29,11941,197,2,16890.68,2.37
2025-12-08,bank-of-jamaica,TikTok,Kingston,17001.64,32259,517,7,51579.39,3.03
2025-12-08,bank-of-jamaica,TikTok,St Andrew,2861.36,5429,87,1,8680.76,3.03
2025-12-08,bank-of-jamaica,TikTok,St Catherine,4589.08,8707,139,2,13922.3,3.03
2025-12-08,bank-of-jamaica,TikTok,Clarendon,9738.3,18477,296,4,29543.95,3.03
2025-12-08,bank-of-jamaica,TikTok,Manchester,8463.54,16059,257,3,25676.58,3.03
2025-12-08,bank-of-jamaica,TikTok,St Ann,25171.15,47760,765,11,76363.96,3.03
2025-12-08,bank-of-jamaica,TikTok,St Mary,5736.84,10885,174,2,17404.35,3.03
2025-12-08,bank-of-jamaica,TikTok,Portland,718.19,1362,21,0,2178.83,3.03
2025-12-08,bank-of-jamaica,TikTok,St Thomas,289.86,549,8,0,879.36,3.03
2025-12-08,bank-of-jamaica,TikTok,St James,7197.44,13656,218,3,21835.51,3.03
2025-12-08,bank-of-jamaica,TikTok,Hanover,11605.49,22020,352,5,35208.62,3.03
2025-12-08,bank-of-jamaica,TikTok,Westmoreland,2496.74,4737,75,1,7574.57,3.03
2025-12-08,bank-of-jamaica,TikTok,Trelawny,3610.24,6850,109,1,10952.7,3.03
2025-12-08,bank-of-jamaica,TikTok,St Elizabeth,10881.72,20647,330,4,33012.84,3.03
2025-12-09,bank-of-jamaica,TikTok,Kingston,17119.15,31936,482,5,39382.21,2.3
2025-12-09,bank-of-jamaica,TikTok,St Andrew,7179.12,13393,202,2,16515.39,2.3
2025-12-09,bank-of-jamaica,TikTok,St Catherine,21327.03,39787,600,7,49062.34,2.3
2025-12-09,bank-of-jamaica,TikTok,Clarendon,7260.11,13544,204,2,16701.71,2.3
2025-12-09,bank-of-jamaica,TikTok,Manchester,595.76,1111,16,0,1370.54,2.3
2025-12-09,bank-of-jamaica,TikTok,St Ann,24752.04,46176,697,8,56941.49,2.3
2025-12-09,bank-of-jamaica,TikTok,St Mary,8726.18,16279,245,3,20074.37,2.3
2025-12-09,bank-of-jamaica,TikTok,Portland,16194.69,30212,456,5,37255.52,2.3
2025-12-09,bank-of-jamaica,TikTok,St Thomas,2031.92,3790,57,0,4674.38,2.3
2025-12-09,bank-of-jamaica,TikTok,St James,4286.52,7996,120,1,9861.04,2.3
2025-12-09,bank-of-jamaica,TikTok,Hanover,1043.73,1947,29,0,2401.09,2.3
2025-12-09,bank-of-jamaica,TikTok,Westmoreland,783.89,1462,22,0,1803.31,2.3
2025-12-09,bank-of-jamaica,TikTok,Trelawny,8534.04,15920,240,2,19632.35,2.3
2025-12-09,bank-of-jamaica,TikTok,St Elizabeth,4063.68,7581,114,1,9348.4,2.3
2025-12-10,bank-of-jamaica,TikTok,Kingston,16232.77,29754,483,6,43299.47,2.67
2025-12-10,bank-of-jamaica,TikTok,St Andrew,31099.81,57006,926,12,82956.0,2.67
2025-12-10,bank-of-jamaica,TikTok,St Catherine,42850.35,78545,1276,17,114299.51,2.67
2025-12-10,bank-of-jamaica,TikTok,Clarendon,1360.9,2494,40,0,3630.09,2.67
2025-12-10,bank-of-jamaica,TikTok,Manchester,7754.14,14213,230,3,20683.49,2.67
2025-12-10,bank-of-jamaica,TikTok,St Ann,4302.79,7887,128,1,11477.32,2.67
2025-12-10,bank-of-jamaica,TikTok,St Mary,990.5,1815,29,0,2642.08,2.67
2025-12-10,bank-of-jamaica,TikTok,Portland,1929.27,3536,57,0,5146.16,2.67
2025-12-10,bank-of-jamaica,TikTok,St Thomas,11588.2,21241,345,4,30910.5,2.67
2025-12-10,bank-of-jamaica,TikTok,St James,1744.05,3196,51,0,4652.1,2.67
2025-12-10,bank-of-jamaica,TikTok,Hanover,788.33,1445,23,0,2102.79,2.67
2025-12-10,bank-of-jamaica,TikTok,Westmoreland,1697.64,3111,50,0,4528.32,2.67
2025-12-10,bank-of-jamaica,TikTok,Trelawny,62.34,114,1,0,166.29,2.67
2025-12-10,bank-of-jamaica,TikTok,St Elizabeth,540.39,990,16,0,1441.43,2.67
2025-12-11,bank-of-jamaica,TikTok,Kingston,17436.42,32140,568,7,46551.23,2.67
2025-12-11,bank-of-jamaica,TikTok,St Andrew,5006.11,9227,163,2,13365.16,2.67
2025-12-11,bank-of-jamaica,TikTok,St Catherine,18600.96,34286,606,7,49660.27,2.67
2025-12-11,bank-of-jamaica,TikTok,Clarendon,8708.73,16052,284,3,23250.29,2.67
2025-12-11,bank-of-jamaica,TikTok,Manchester,20410.35,37622,665,8,54490.93,2.67
2025-12-11,bank-of-jamaica,TikTok,St Ann,7217.86,13304,235,2,19270.03,2.67
2025-12-11,bank-of-jamaica,TikTok,St Mary,6774.45,12487,221,2,18086.22,2.67
2025-12-11,bank-of-jamaica,TikTok,Portland,1288.21,2374,42,0,3439.24,2.67
2025-12-11,bank-of-jamaica,TikTok,St Thomas,4788.08,8825,156,1,12783.08,2.67
2025-12-11,bank-of-jamaica,TikTok,St James,17282.0,31855,563,7,46138.95,2.67
2025-12-11,bank-of-jamaica,TikTok,Hanover,19997.28,36860,652,8,53388.13,2.67
2025-12-11,bank-of-jamaica,TikTok,Westmoreland,5150.96,9494,168,2,13751.87,2.67
2025-12-11,bank-of-jamaica,TikTok,Trelawny,4738.4,8734,154,1,12650.43,2.67
2025-12-11,bank-of-jamaica,TikTok,St Elizabeth,5657.71,10428,184,2,15104.78,2.67
2025-12-12,bank-of-jamaica,TikTok,Kingston,26025.61,45556,684,8,58419.59,2.24
2025-12-12,bank-of-jamaica,TikTok,St Andrew,4136.98,7241,108,1,9286.27,2.24
2025-12-12,bank-of-jamaica,TikTok,St Catherine,7218.74,12635,189,2,16203.88,2.24
2025-12-12,bank-of-jamaica,TikTok,Clarendon,14174.72,24812,372,4,31817.95,2.24
2025-12-12,bank-of-jamaica,TikTok,Manchester,6278.7,10990,165,2,14093.78,2.24
2025-12-12,bank-of-jamaica,TikTok,St Ann,37686.6,65968,991,12,84594.98,2.24
2025-12-12,bank-of-jamaica,TikTok,St Mary,3904.39,6834,102,1,8764.17,2.24
2025-12-12,bank-of-jamaica,TikTok,Portland,5002.04,8755,131,1,11228.07,2.24
2025-12-12,bank-of-jamaica,TikTok,St Thomas,11347.93,19863,298,3,25472.66,2.24
2025-12-12,bank-of-jamaica,TikTok,St James,8156.66,14277,214,2,18309.22,2.24
2025-12-12,bank-of-jamaica,TikTok,Hanover,49.72,87,1,0,111.61,2.24
2025-12-12,bank-of-jamaica,TikTok,Westmoreland,30670.75,53687,806,10,68846.51,2.24
2025-12-12,bank-of-jamaica,TikTok,Trelawny,63.51,111,1,0,142.57,2.24
2025-12-12,bank-of-jamaica,TikTok,St Elizabeth,4315.29,7553,113,1,9686.51,2.24
2025-12-13,bank-of-jamaica,TikTok,Kingston,3358.78,6278,95,1,8417.63,2.51
2025-12-13,bank-of-jamaica,TikTok,St Andrew,25282.88,47257,721,9,63362.76,2.51
2025-12-13,bank-of-jamaica,TikTok,St Catherine,24071.07,44991,687,9,60325.8,2.51
2025-12-13,bank-of-jamaica,TikTok,Clarendon,17409.1,32539,497,6,43629.87,2.51
2025-12-13,bank-of-jamaica,TikTok,Manchester,13143.81,24567,375,5,32940.41,2.51
2025-12-13,bank-of-jamaica,TikTok,St Ann,10058.18,18800,287,3,25207.35,2.51
2025-12-13,bank-of-jamaica,TikTok,St Mary,2370.35,4430,67,0,5940.45,2.51
2025-12-13,bank-of-jamaica,TikTok,Portland,5726.37,10703,163,2,14351.17,2.51
2025-12-13,bank-of-jamaica,TikTok,St Thomas,6921.42,12937,197,2,17346.15,2.51
2025-12-13,bank-of-jamaica,TikTok,St James,1738.32,3249,49,0,4356.5,2.51
2025-12-13,bank-of-jamaica,TikTok,Hanover,2381.23,4450,67,0,5967.72,2.51
2025-12-13,bank-of-jamaica,TikTok,Westmoreland,13810.92,25814,394,5,34612.28,2.51
